areaid,districtid,percent
162657,461,0.588786018516667
99865,296,1
71211,405,1
57643,70,1
171713,159,1
110428,159,1
59828,374,0.496420697133757
62960,379,1
101443,68,0.015107856085164
89333,206,1
28737,105,1
58873,6,0.367738502044703
171055,265,1
108615,36,1
117842,317,0.026522047026722
61698,30,1
116036,159,0.100019600705625
42283,55,0.864658043032787
172785,159,1
108010,159,1
51497,105,1
30760,376,0.017654966034294
73600,467,1
14490,144,1
136657,90,1
17236,30,1
136870,30,1
73256,30,1
78641,235,0.942642403480196
156581,98,1
167611,208,0.302479953905987
146179,451,1
147799,451,0.807020421225274
59527,451,0.369526346737709
179421,421,0.721470522340289
140533,121,1
141215,76,1
139607,30,1
41232,92,1
163416,414,1
14661,36,1
121727,182,1
3583,18,0.016272940687151
120282,138,1
47946,466,1
140986,438,1
182432,438,1
80760,380,1
113670,7,0.702925287126336
61297,312,1
22009,83,1
39599,108,0.265413994134099
71748,30,1
83784,30,1
158184,92,1
123332,45,1
96899,149,1
70478,267,1
147422,116,1
137679,132,1
11378,401,0.551249030131902
58974,116,1
182630,182,1
64738,138,1
18405,138,1
51012,63,1
162927,63,1
47785,103,0.150248059534288
181496,312,0.045088528159319
135559,265,1
127479,265,1
35199,265,1
92697,45,1
143020,185,0.986000248066482
82566,268,1
56101,207,1
182816,216,1
157530,167,1
177994,182,0.981803050429717
98701,75,1
64090,355,1
28162,15,1
185759,447,1
35416,296,0.833021118529548
87303,161,0.531783671721477
12818,296,1
158256,154,1
154470,105,1
178197,105,1
11669,196,1
94671,16,1
176501,144,1
151185,23,1
145436,312,1
37722,83,1
83262,83,1
54394,312,1
9948,414,1
134452,414,1
115772,92,1
119668,270,1
42071,332,1
57711,43,1
75642,212,0.791866822925208
106951,212,1
55838,174,0
53754,407,1
38442,466,0.004696427242585
181164,199,1
40727,63,0.832485014365401
51977,159,0.03779351174047
130335,159,1
170112,466,1
172758,1,1
124424,466,1
132023,282,0.269177205058428
75551,90,1
68446,236,1
129305,90,1
20277,337,0.200881783410949
105116,85,0.603640655317957
115523,145,1
47071,219,1
114267,379,1
167123,366,0.124572778938734
15579,325,1
62232,205,0.874552315554008
74723,466,1
22538,466,1
138483,466,1
119302,394,0.885398913400066
17942,379,1
143053,63,1
172011,55,1
150145,379,1
76208,63,1
108781,7,1
71021,135,0.040579315754299
39803,365,1
154797,16,0.807262748611933
92551,144,1
34298,119,0.082878123937011
165343,467,0.570569705120662
136845,108,0.970242715727307
188436,30,1
170573,139,1
17535,149,0.691156816453923
19529,267,1
132666,18,0.15502015741985
110545,18,1
177812,466,1
85240,212,1
173323,304,1
40068,366,1
165102,388,0.124400555148926
148122,121,1
76075,76,0.720138622102702
90054,296,1
178604,302,1
55700,296,1
112452,182,1
135970,407,1
89437,466,0.406359334843839
143843,107,1
155812,309,0.410384944670705
134954,66,0.068634984671293
76846,66,0.082254062274874
134983,71,0.131977034947689
164542,302,0.994222890795033
47014,458,0.62215722676568
122116,302,1
8355,367,1
81766,146,1
58657,405,1
107684,196,1
82954,113,1
154594,161,1
102360,100,1
51509,463,1
150293,146,1
181666,405,1
140905,196,1
150179,105,1
82199,381,0.023004606524375
116489,33,0.380057132797747
69752,135,1
28713,380,1
28007,312,1
99129,35,0.774729319878684
162601,414,1
124598,99,1
7824,332,1
73454,43,0.039640966333591
182647,436,0.895662058420922
159391,15,0.483634167026707
88212,309,1
11346,144,1
187203,365,0.293414970886608
29788,98,1
189889,265,1
94653,265,1
58363,265,1
80098,296,1
135974,154,1
69712,154,1
149344,166,0.830889912036833
140882,53,1
95754,166,0.99077992623941
58763,121,1
33583,388,1
96345,454,1
67479,94,0.342078199592635
136949,105,1
52913,215,0.599206460309016
37866,63,1
13728,159,1
92088,159,1
187907,97,0.13684214736539
123636,165,1
171762,132,0.701636851162605
134902,207,0.270198108184922
45560,107,1
187828,1,1
176123,438,0.022916558273934
89155,272,1
151436,302,0.601701899534318
27117,154,0.747111121781021
28793,302,0.682190794342982
69025,159,1
34506,113,0.914701561543049
104987,105,1
128834,391,0.90049830895155
163786,2,1
158961,332,1
126758,167,1
147398,205,0.454312262897572
176511,318,0.481429754811136
11187,309,1
38986,15,1
125292,15,1
141944,15,1
99347,161,1
39247,461,1
124388,405,1
172225,405,1
5884,365,1
59271,90,1
73379,90,0.573795668606395
183333,90,1
124978,30,1
170481,30,1
180359,36,0.661222986739036
155298,424,1
105336,48,0.679243394315047
131991,267,1
185030,267,1
153380,138,1
67082,18,1
96407,138,1
180528,121,1
111257,388,1
44909,302,1
155389,63,1
93022,7,0.98466512997823
169460,55,1
178590,154,1
430,6,0.742617401325267
7323,196,0.16022709541128
149192,97,1
23113,119,1
92301,9,1
35379,16,1
52380,265,1
167409,265,1
130715,265,1
105697,265,1
15390,35,0.75525155446012
9326,270,1
138545,235,1
94571,366,0.730374525391789
31909,15,1
35695,15,1
184314,293,1
189807,312,1
188372,90,0.003715346099087
181601,90,1
121547,90,1
183935,90,1
12797,83,0.136713512042237
24863,41,0.27862181551918
33174,103,1
56204,85,0.946649970194397
128389,267,1
120538,267,1
143676,212,1
166951,212,0.816367017978921
74608,212,0.959668967944769
88048,334,1
153904,206,0.270909367396594
141176,113,0.022087991705995
161882,105,1
133880,196,1
128674,105,1
130283,302,1
68410,464,1
100011,133,0.009835186600459
35326,16,1
109896,98,0.323661714797977
