areaid,home,job
109232,2,2
131759,1,0
39275,7,0
50257,30,15
61483,4,1
110357,3,1
25838,840,339
104551,3,0
47235,16,8
131668,24,9
40433,1,2
21566,1,0
183997,66,15
69546,1,0
54790,1,0
183414,19,5
132564,2,0
137991,8,3
70065,25,7
153461,1,0
130273,2,0
165063,12,6
12402,18,11
121752,22,5
112419,2,0
135207,1,0
121432,4,1
62055,224,75
122545,105,26
32413,24,6
28384,4,2
29363,10,0
137239,3,0
6731,33,21
117873,1,0
169772,2,1
117478,3,0
60628,7,2
8743,35,19
5169,1,0
26970,12,6
181527,1,0
149377,16,0
25040,10,3
75085,102,71
135032,122,18
63566,11,5
150494,5,2
61844,2,1
65766,13,3
17243,1,0
11802,3,0
1389,2,0
129546,28,7
143218,31,10
151816,30,6
159046,70,37
156843,44,14
41441,95,20
4214,13,0
70270,1,0
22036,194,35
65218,12,6
114270,21,1
52889,9,0
135523,8,6
170263,17,8
69630,12,7
21632,0,1
131854,1,0
107229,6,0
107021,4,0
94566,3,0
149496,1,0
93085,25,7
90258,17,0
39725,1,0
126797,2,0
158662,3,4
10447,18,4
183079,27,13
71614,160,83
117177,4,0
133846,36,17
159270,23,2
6913,2,0
12245,8,2
86430,2,0
148637,6,3
109577,14,6
109340,0,1
91653,71,12
117656,95,53
3978,11,4
101760,1,0
173524,1,0
27589,1,0
98414,2,0
131434,0,1
28568,4,2
33688,1,1
154880,1,0
34309,1,0
121838,61,24
156208,1,0
123117,1,0
110502,0,1
57851,1,0
30156,1,0
23959,1,0
140177,121,47
119165,27,18
84715,2,0
66341,3,0
17307,2,1
6325,2,0
169087,1,0
109772,1,0
123440,1,0
105715,2,0
66043,104,50
78394,2,0
186451,91,37
38621,1,0
32101,1,0
121412,1,0
177498,1,0
4767,62,21
28905,144,66
138313,1,0
121559,59,33
66209,54,12
71605,2,0
55686,13,5
53464,2,0
144449,1,0
188998,3,1
80914,6,1
167328,3,0
116674,1,0
104559,0,1
125219,1,1
151559,0,1
136175,0,1
145627,1,0
153293,4,1
82044,59,28
102346,12,5
189467,1,3
189618,2,0
50013,130,66
187252,1646,351
180506,35,26
4524,4,1
103831,1,1
137267,3,0
49896,1,0
74682,4,0
40359,0,1
116361,4,0
56545,13,7
142888,10,2
103265,86,34
189126,0,1
48335,750,293
137259,33,15
133559,10,5
96266,14,4
50680,50,21
56588,1,6
54121,73,27
130404,126,73
16230,3,0
62833,2,0
166232,1,0
67592,67,20
2345,5,3
86972,9,4
162552,9,2
129987,4,5
151463,1154,365
125105,15,1
148677,14,9
149882,0,2
97614,5,12
23404,146,64
139657,1,0
178663,2,0
93581,111,54
93460,23,5
3862,17,17
74822,9,4
151938,36,11
121447,139,71
31093,10,4
32786,29,9
60492,12,12
130758,12,4
49049,1,2
15719,4,4
43058,3,2
139250,1,0
95685,3,0
148418,27,9
84857,13,10
143074,1,0
5982,8,2
186697,13,3
178480,0,1
155578,54,14
175369,5,0
98786,7,4
145365,7,1
170343,1,0
37479,2,0
41318,4,0
38019,5,1
152659,15,8
26265,25,12
179121,123,88
175168,2,0
2014,5,0
75147,1,0
32581,5,0
4031,9,3
110966,13,0
114615,5,1
43198,1,1
78625,3,0
63231,23,9
100389,1,0
58907,26,17
91574,11,2
169029,4,3
13169,93,44
120231,5,2
153171,15,2
96869,112,46
153536,508,124
162608,16,10
17733,16,8
54030,13,11
63392,3,0
59636,6,0
181619,48,13
42284,4,0
70587,2,0
